tconst,primaryTitle,startYear,region,language,directors,writers,cast_crew,categories
tt4658706,Full & Final,2013,BD,,nm6034923,nm4683293,"['Abdullah Zahir Babu', 'Ali Akram Shuvo', 'Amit Hasan', 'Chikon Ali', 'Don', 'Eamin Haque Bobby', 'Ilias Cobra', 'Kabila', 'Lal Mohammad', 'Malek Afsari', 'Shakib Khan', 'Shiba Shanu', 'Tanvir Khan', 'Taposhi Thakur Ishita', 'Touhid Hossain Chowdhury', 'Zamilur Rahman Shakha']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'writer']"
tt4662472,Hum Hain Mairvi,2012,PK,,\N,nm7307150,"['Bilal Ahmed Saeed', 'Nasir Khan Mairvi', 'SamiUllah Khan Mairvi']","['actor', 'archive_sound', 'writer']"
tt4668054,The Pay Back,\N,PK,,nm7312110,\N,"['Human Man', 'Taraz Ali', 'Wassim Ali', 'Wassim Ali is Mustafa']","['actor', 'director']"
tt4676136,Ghashphul: The Flower of Grass,2015,BD,,nm6827100,nm6827100,"['Akram Khan', 'Arjumand Ara Bokul', 'Kazi Asif Rahman', 'Manas Bandopadhyay', 'Manosh Bandyopadhyay', 'Naila Azad', 'Nazakat Khan', 'Riad Morshed', 'Sameer Ahmed', 'Satej Chowdhury', 'Shaila Sabi', 'Swani Zubayeer', 'Syed Kashef Shahbazi', 'Tania Brishty']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'writer']"
tt4683676,Abdullah: The Final Witness,2015,PK,,nm4414490,nm4414490,"['Abdullah Jan Ghaznavi', 'Hameed Sheikh', 'Hashim Nadeem', 'Imran Abbas', 'Imran Tareen', 'Sajid Hasan', 'Saleem Daad', 'Zuhab Khan']","['actor', 'cinematographer', 'director', 'producer', 'writer']"
tt4691770,Islamophobia,2022,PK,ur,nm4470253,nm4470253,"['Anita Chui', 'Carlos Antonio León', 'Chris Mulkey', 'Essam Ferris', 'Fahim Fazli', 'Ibrahim Bozkurt', 'Iyad Hajjaj', 'Johnny Venokur', 'Mike Mitchell', 'Omer Sarikaya', 'Preity Üpala', 'Salama Abdo', 'Salman Abdo', 'Wilma Elles', 'Zeki Bayirli']","['actor', 'actress', 'cinematographer', 'director', 'editor', 'producer', 'writer']"
tt4692368,Jawani Phir Nahi Ani,2015,PK,ur,nm7397878,nm3221574,"['Ahmad Ali Butt', 'Ayesha Khan', 'Aziz Akhmedov', 'Hamza Ali Abbasi', 'Humayun Saeed', 'Jari Khushnood Naqwi', 'Kuznecovsky Yuri', 'Mehwish Hayat', 'Mohammad Jerjees Seja', 'Mujahid Raza', 'Mykola Udianskyi', 'Nadeem Baig', 'Rizwan A.Q.', 'Saleem Daad', 'Salman Iqbal', 'Sarwat Gilani', 'Shahzad Nasib', 'Shani Arshad', 'Vasay Chaudhry']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4692368,Jawani Phir Nahi Ani,2015,PK,,nm7397878,nm3221574,"['Ahmad Ali Butt', 'Ayesha Khan', 'Aziz Akhmedov', 'Hamza Ali Abbasi', 'Humayun Saeed', 'Jari Khushnood Naqwi', 'Kuznecovsky Yuri', 'Mehwish Hayat', 'Mohammad Jerjees Seja', 'Mujahid Raza', 'Mykola Udianskyi', 'Nadeem Baig', 'Rizwan A.Q.', 'Saleem Daad', 'Salman Iqbal', 'Sarwat Gilani', 'Shahzad Nasib', 'Shani Arshad', 'Vasay Chaudhry']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4701724,Early Man,2018,BD,en,nm0661910,"nm0123666,nm2664949,nm0661910,nm0640976","['Brian Medavoy', 'Charles Copping', 'Dave Alex Riddett', 'Eddie Redmayne', 'Gail Stevens', 'Harry Gregson-Williams', 'James Higginson', ""John O'Farrell"", 'Johnny Vegas', 'Kayvan Novak', 'Maisie Williams', 'Mark Burton', 'Matt Perry', 'Miriam Margolyes', 'Nick Park', 'Paul Smith', 'Peter Lord', 'Peter Sorg', 'Richard Ayoade', 'Richard Beek', 'Rob Brydon', 'Selina Griffiths', 'Sim Evan-Jones', 'Timothy Spall', 'Tom Hiddleston', 'Tom Howe']","['actor', 'actress', 'casting_director', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'production_designer', 'writer']"
tt4770070,Miss Lolita,1985,BD,,nm5042664,"nm6688062,nm5042664","['Akhtar Hossain', 'Alauddin Ali', 'Anwar Hossain', 'Atiqur Rahman Mallik', 'Dulari Chakraborty', 'Fazlur Rashid Dhali', 'Hema', 'Minoti Hossain', 'Mohammad Shahedur Rahman', 'Nur Islam', 'Rozina', 'Sirajul Islam Siraj', 'Subol Das', 'Suruj Bangali', 'Wasim', 'Zillur Rahman']","['actor', 'actress', 'cinematographer', 'composer', 'director', 'editor', 'producer', 'writer']"
